step,desired_x,desired_y,actual_x,actual_y,theta1_rad,theta2_rad,error
31,0.9316824153149696,0.8296162697312808,0.9316824153149696,0.8296162697312809,0.03249930238002896,1.6231356712266376,1.1102230246251565e-16
32,0.9134150378563213,0.8284661307031167,0.9134150378563212,0.8284661307031167,0.03311209419204597,1.6454386431036372,1.1102230246251565e-16
33,0.8952479372359192,0.8265527353666386,0.895247937235919,0.8265527353666386,0.033373355812675976,1.668038073236383,2.220446049250313e-16
34,0.8772309082137841,0.8238813282054657,0.8772309082137841,0.8238813282054657,0.033277965669519016,1.690888212487959,0.0
35,0.8594133342141177,0.8204592313609391,0.8594133342141177,0.820459231360939,0.032818939672125014,1.713944315310499,1.1102230246251565e-16
36,0.8418440519687684,0.816295824562643,0.8418440519687683,0.8162958245626429,0.031987410304184505,1.737162529141638,1.5700924586837752e-16
37,0.8245712176591449,0.8114025194192165,0.8245712176591449,0.8114025194192165,0.03077261620279903,1.7604997648145972,0.0
38,0.8076421749234699,0.8057927281399284,0.8076421749234701,0.8057927281399283,0.029161902578855536,1.783913550091822,2.482534153247273e-16
39,0.7911033250911585,0.799481826772743,0.7911033250911585,0.799481826772743,0.027140733296500463,1.807361868237992,0.0
40,0.775,0.7924871130596429,0.7749999999999999,0.7924871130596428,0.024692715952089772,1.8308029834088742,1.5700924586837752e-16
41,0.7593763377447407,0.7848277590247188,0.7593763377447408,0.7848277590247189,0.02179964188119554,1.8541952545602163,1.5700924586837752e-16
42,0.7442751616976344,0.7765247584249854,0.7442751616976345,0.7765247584249853,0.018441543684097117,1.8774969395874304,1.5700924586837752e-16
43,0.729737863132557,0.7676008692079519,0.729737863132557,0.7676008692079519,0.014596773602699287,1.9006659915038278,0.0
44,0.7158042877743998,0.7580805511336706,0.7158042877743996,0.7580805511336705,0.010242106909400639,1.9236598486645957,1.5700924586837752e-16
45,0.7025126265847084,0.7479898987322333,0.7025126265847083,0.7479898987322333,0.00535287538066509,1.9464352213577678,1.1102230246251565e-16
46,0.689899311082912,0.7373565697804804,0.6898993110829119,0.7373565697804803,-9.68630835055384e-05,1.9689478775244647,1.5700924586837752e-16
47,0.6779989134900601,0.7262097094939546,0.6779989134900604,0.7262097094939545,-0.006134111588765534,1.9911524309501547,2.482534153247273e-16
48,0.6668440519687684,0.7145798706418925,0.6668440519687684,0.7145798706418925,-0.012786669956384777,2.013002135995867,0.0
